,title,title_link,area,level,school,end_date,office_name,keyword
38,채용 공고 제목 39,http://www.saramin.co.kr/,서울 송파구,경력4년↑,대졸↑,2020.10.24,office_name39,"SI·시스템통합, 소프트웨어개발, 데이타마이닝 외"
39,채용 공고 제목 40,http://www.saramin.co.kr/,부산 수영구,경력5년↑,대졸↑,2020.10.26,office_name40,"SI·시스템통합, 소프트웨어개발, Java·JSP 외"
40,채용 공고 제목 41,http://www.saramin.co.kr/,서울 금천구,경력2년↑,초대졸↑,2020.9.12,office_name41,"SI·시스템통합, ERP, SCM 외"
41,채용 공고 제목 42,http://www.saramin.co.kr/,서울 성동구,경력무관,대졸↑,2020.8.30,office_name42,"대학교, 인공지능(AI), 빅데이터 외"
42,채용 공고 제목 43,http://www.saramin.co.kr/,서울 강남구,경력무관,초대졸↑,2020.9.19,office_name43,"게임개발, 게임기획·마케팅, 게임디자인 외"
43,채용 공고 제목 44,http://www.saramin.co.kr/,서울 영등포구,신입·경력,대졸↑,2020.9.19,office_name44,"SI·시스템통합, 솔루션업체, ASP 외"
44,채용 공고 제목 45,http://www.saramin.co.kr/,서울 강남구,경력3년↑,고졸↑,2020.10.25,office_name45,"소프트웨어개발, Java·JSP, Java 외"
45,채용 공고 제목 46,http://www.saramin.co.kr/,서울 강서구,경력,대졸↑,2020.8.30,office_name46,"소프트웨어개발, C·C++, Python 외"
46,채용 공고 제목 47,http://www.saramin.co.kr/,서울 서초구,경력 5~10년,초대졸↑,2020.9.13,office_name47,"소프트웨어개발, Java·JSP, Ajax 외"
47,채용 공고 제목 48,http://www.saramin.co.kr/,경기 성남시 중원구,경력무관,석사↑,2020.10.12,office_name48,"DataMining, 솔루션업체, 소프트웨어개발 외"
48,채용 공고 제목 49,http://www.saramin.co.kr/,서울 강남구,경력무관,학력무관,상시,office_name49,"전기, 회로설계, 자동제어 외"
49,채용 공고 제목 50,http://www.saramin.co.kr/,서울 강남구,경력5년↑,초대졸↑,2020.8.31,office_name50,"컨텐츠제공, 인터넷교육, 사이트운영 외"
50,채용 공고 제목 51,http://www.saramin.co.kr/,대전 유성구,경력무관,대졸↑,2020.10.4,office_name51,"반도체, LCD, 디스플레이 외"
51,채용 공고 제목 52,http://www.saramin.co.kr/,서울 관악구,경력무관,학력무관,상시,office_name52,"SI·시스템통합, KMS, DataMining 외"
52,채용 공고 제목 53,http://www.saramin.co.kr/,경기 성남시 분당구,경력무관,학력무관,채용시,office_name53,"전자상거래, 쇼핑몰, B2C 외"
53,채용 공고 제목 54,http://www.saramin.co.kr/,서울 강남구,경력무관,학력무관,2020.9.7,office_name54,"소프트웨어개발, SW(소프트웨어)"
54,채용 공고 제목 55,http://www.saramin.co.kr/,서울 강남구,경력3년↑,초대졸↑,2020.9.23,office_name55,"IT컨설팅, 빅데이터, Spark 외"
55,채용 공고 제목 56,http://www.saramin.co.kr/,경기 용인시 수지구,경력무관,학력무관,2020.9.25,office_name56,"SI·시스템통합, 솔루션업체, 소프트웨어개발 외"
56,채용 공고 제목 57,http://www.saramin.co.kr/,부산 동래구,경력무관,학력무관,2020.10.18,office_name57,"SI·시스템통합, ERP, DataMining 외"
57,채용 공고 제목 58,http://www.saramin.co.kr/,경기 성남시 분당구,신입·경력,대졸↑,2020.10.3,office_name58,"소프트웨어개발, C·C++, Java 외"
